datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26;D27;F27
26.09.2021;Bundestagswahl;14713000;;Zentrum;2;2;798;505;0;1303;894;478;6;888;7;887;107;102;174;131;148;88;135;164;114;165;150;175;0;18;20;13;0;0;13;6;3;3;4;0;0;0;0;0;11;9;0;0;0;0;0;1;9;6;0;2;0;2;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;;Zentrum-Ost;5;5;2645;1743;0;4388;3454;1649;57;3397;11;3443;242;239;606;471;631;457;551;693;369;490;795;847;0;49;66;50;0;3;46;28;11;8;15;9;0;3;9;2;43;42;0;5;0;0;0;1;11;8;0;6;0;12;0;20;;;;;;;;;2;0
26.09.2021;Bundestagswahl;14713000;;Zentrum-Südost;12;12;5684;3763;0;9447;7346;3622;54;7292;35;7311;613;605;1029;781;1670;1100;1202;1509;609;820;1728;1866;0;133;153;118;0;8;84;77;36;36;29;19;0;14;12;11;88;75;0;8;0;2;0;10;36;27;0;18;0;28;0;46;;;;;;;;;3;0
26.09.2021;Bundestagswahl;14713000;;Zentrum-Süd;15;15;6124;4420;0;10544;8881;4228;42;8839;22;8859;550;552;1377;1085;2195;1289;1401;1855;660;944;2125;2420;0;147;183;150;0;6;121;91;32;23;38;19;0;20;11;5;117;137;0;2;0;3;0;9;22;25;0;13;0;22;0;42;;;;;;;;;7;0
26.09.2021;Bundestagswahl;14713000;;Zentrum-West;11;11;4906;3166;0;8072;6673;2996;44;6629;31;6642;441;446;1119;847;1327;746;1066;1374;587;853;1709;1857;0;110;115;95;0;4;84;69;19;22;30;13;0;20;4;3;95;91;0;1;0;3;0;1;28;16;0;9;0;25;0;37;;;;;;;;;5;0
26.09.2021;Bundestagswahl;14713000;;Zentrum-Nordwest;11;11;4591;3287;0;7878;6730;3142;32;6698;20;6710;417;429;1242;933;1071;632;1074;1333;618;943;1934;1979;0;70;100;88;0;3;72;63;19;30;20;11;0;12;3;1;110;96;0;8;0;2;0;2;18;12;0;5;0;25;0;33;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;;Zentrum-Nord;9;9;3988;2530;0;6518;5238;2392;30;5208;20;5218;482;474;912;723;846;575;931;1066;485;693;1188;1241;0;86;123;87;0;4;88;58;28;29;19;14;0;9;3;3;84;74;0;2;0;4;0;3;17;15;0;11;0;22;0;25;;;;;;;;;2;0
26.09.2021;Bundestagswahl;14713000;;Schönefeld-Abtnaundorf;10;10;6519;2412;0;8931;6174;2255;67;6107;52;6122;1030;971;955;687;1146;976;1092;1102;444;558;808;1014;0;218;239;163;0;16;144;110;0;48;28;19;0;10;13;9;85;77;0;11;0;13;0;2;38;17;0;40;0;34;0;27;48;0;7;0;29;0;1;0;;
26.09.2021;Bundestagswahl;14713000;;Schönefeld-Ost;10;10;5772;1818;0;7590;5107;1690;69;5038;55;5052;984;968;1220;966;590;565;1308;1381;289;360;312;352;0;115;86;71;0;15;88;79;0;17;19;11;0;8;8;3;37;52;0;4;0;13;0;2;27;11;0;24;0;18;0;17;35;0;5;0;28;0;2;0;;
26.09.2021;Bundestagswahl;14713000;;Mockau-Süd;4;4;2540;991;0;3531;2338;905;25;2313;21;2317;485;457;407;319;290;247;493;516;215;258;182;224;0;69;85;58;0;9;48;40;0;11;5;8;0;5;4;5;47;44;0;1;0;2;0;2;15;6;0;18;0;10;0;8;16;0;9;0;12;0;0;0;;
