datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26;D27;F27
26.09.2021;Bundestagswahl;14713000;0019;0019;1;1;798;505;0;1303;423;7;4;419;5;418;58;55;70;55;91;51;63;76;48;71;65;85;0;5;7;6;0;0;2;1;3;2;1;0;0;0;0;0;6;5;0;0;0;0;0;0;5;3;0;0;0;1;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0109;0109;1;1;810;517;0;1327;490;3;1;489;1;489;55;56;91;85;86;56;77;91;45;72;108;102;0;5;6;3;0;1;4;2;2;1;2;1;0;1;1;0;9;3;0;1;0;0;0;0;2;0;0;3;0;5;0;1;;;;;;;;;1;0
26.09.2021;Bundestagswahl;14713000;0119;0119;1;1;1005;575;0;1580;714;12;5;709;4;710;59;58;148;103;127;95;110;138;83;111;139;149;0;12;19;11;0;0;4;4;2;2;5;4;0;0;1;1;10;11;0;0;0;0;0;0;2;1;0;1;0;1;0;8;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0121;0121;1;1;830;651;0;1481;623;7;3;620;4;619;51;48;93;69;141;95;82;106;71;89;143;154;0;11;12;11;0;1;9;5;5;2;2;2;0;2;0;0;9;11;0;0;0;0;0;0;2;3;0;1;0;3;0;6;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0201;0201;1;1;693;481;0;1174;497;4;2;495;1;496;37;37;70;48;120;74;84;104;44;57;108;117;0;10;6;6;0;2;9;8;0;0;2;3;0;0;0;1;11;12;0;0;0;0;0;3;3;4;0;2;0;3;0;5;;;;;;;;;1;0
26.09.2021;Bundestagswahl;14713000;0209;0209;1;1;804;461;0;1265;505;7;4;501;4;501;53;55;57;39;115;74;75;92;55;68;117;137;0;1;11;8;0;1;5;7;3;5;1;0;0;2;0;0;7;5;0;0;0;0;0;1;2;3;0;1;0;0;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0212;0212;1;1;685;491;0;1176;474;3;0;474;0;474;46;44;81;63;92;50;76;93;45;63;107;120;0;11;11;9;0;0;5;3;1;2;0;0;0;1;1;1;9;8;0;0;0;0;0;0;0;0;0;1;0;2;0;3;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0219;0219;1;1;722;582;0;1304;442;2;0;442;0;442;45;41;70;46;95;64;62;68;47;65;89;107;0;13;19;12;0;0;3;4;1;4;2;1;0;0;2;2;3;5;0;0;0;0;0;1;4;1;0;2;0;4;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0220;0220;1;1;687;288;0;975;448;5;5;443;6;442;88;80;70;61;91;64;100;109;19;29;50;59;0;9;5;7;0;3;4;3;3;4;2;0;0;0;2;3;9;7;0;0;0;0;0;0;0;0;0;0;0;3;0;1;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0230;0230;1;1;800;449;0;1249;482;7;8;474;6;476;71;68;78;67;105;67;90;111;30;34;70;83;0;8;13;8;0;0;4;7;1;2;1;0;0;2;1;0;4;3;0;3;0;0;0;1;6;6;0;0;0;4;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0241;0241;1;1;669;518;0;1187;435;1;4;431;4;431;44;43;53;37;114;71;89;107;27;36;80;96;0;8;9;7;0;0;1;1;3;3;3;4;0;0;1;1;4;5;0;1;0;0;0;1;3;2;0;1;0;2;0;5;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0249;0249;1;1;624;493;0;1117;474;4;3;471;2;472;30;36;61;43;147;102;60;79;34;48;111;123;0;10;11;12;0;0;2;2;5;1;1;1;0;1;1;1;8;4;0;1;0;1;0;0;0;0;0;1;0;3;0;3;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0309;0309;1;1;599;472;0;1071;433;0;0;433;0;433;36;39;74;61;89;61;95;121;39;45;79;79;0;5;7;8;0;0;6;3;2;1;1;1;0;1;1;1;3;4;0;0;0;2;0;0;1;1;0;0;0;0;0;0;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0311;0311;1;1;627;555;0;1182;499;8;1;498;0;499;34;38;62;55;147;76;81;92;48;66;103;130;0;9;13;11;0;0;6;5;0;0;0;2;0;3;0;0;4;3;0;1;0;0;0;1;0;0;0;1;0;1;0;5;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0319;0319;1;1;784;494;0;1278;553;3;4;549;3;550;46;50;77;54;158;77;79;120;35;49;116;148;0;10;12;9;0;0;13;7;1;1;0;2;0;1;0;0;12;15;0;0;0;0;0;0;0;1;0;2;0;1;0;3;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0329;0329;1;1;781;565;0;1346;578;1;3;575;2;576;55;52;142;107;96;55;92;137;49;84;111;103;0;4;11;7;0;1;7;5;1;1;2;0;0;2;1;1;8;10;0;0;0;1;0;1;0;0;0;1;0;3;0;1;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0338;0338;1;1;632;400;0;1032;466;1;3;463;4;462;44;45;71;55;115;64;96;124;24;34;87;93;0;9;8;11;0;1;8;8;1;1;2;1;0;2;0;0;5;6;0;0;0;0;0;1;2;1;0;0;0;4;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0339;0339;1;1;630;459;0;1089;515;6;3;512;3;512;27;26;73;54;143;84;75;101;41;55;132;159;0;8;7;8;0;1;4;3;3;3;1;1;0;0;0;2;5;5;0;0;0;0;0;0;1;1;0;0;0;0;0;1;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0341;0341;1;1;693;432;0;1125;528;3;3;525;1;527;31;29;69;56;133;77;99;115;33;57;121;148;0;15;16;8;0;0;6;4;4;3;1;1;0;1;1;0;10;9;0;0;0;0;0;0;1;3;0;0;0;1;0;0;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0349;0349;1;1;677;494;0;1171;574;7;4;570;3;571;34;28;79;68;143;72;95;107;49;69;137;172;0;3;7;14;0;2;9;8;4;7;3;2;0;0;1;0;9;13;0;0;0;0;0;1;0;2;0;0;0;1;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;0359;0359;1;1;701;549;0;1250;544;8;0;544;0;544;51;48;60;50;156;93;72;106;38;41;129;158;0;14;14;9;0;0;5;6;1;1;5;0;0;0;0;0;9;12;0;0;0;0;0;0;2;4;0;0;0;2;0;0;;;;;;;;;2;0
