(c) Der Bundeswahlleiter, Wiesbaden 2021																	
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0)																	
																	
Ergebnisse nach Wahlkreisen																	
Status:	Vorläufig																
Stand:	27.09.2021	06:09															
																	
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM																	
																	
Wahlart	Wahltag	Gebietsart	Gebietsnummer	Gebietsname	UegGebietsart	UegGebietsnummer	Gruppenart	Gruppenname	Gruppenreihenfolge	Stimme	Anzahl	Prozent	VorpAnzahl	VorpProzent	DiffProzent	DiffProzentPkt	Bemerkung
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Wahlberechtigte	-4		61168234		61688485		-0,843352		
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Wählende	-3		46838765	76,573675	46976341	76,150907	-0,292862	0,422768	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Ungültige	-2	1	499163	1,065705	586726	1,248982	-14,924002	-0,183277	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Ungültige	-2	2	419317	0,895235	460849	0,981024	-9,012063	-0,085789	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Gültige	-1	1	46339602	98,934295	46389615	98,751018	-0,107811	0,183277	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Gültige	-1	2	46419448	99,104765	46515492	99,018976	-0,206477	0,085789	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	CDU	1	1	10445571	22,541348	14030751	30,245457	-25,552303	-7,704109	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	CDU	1	2	8770980	18,895055	12447656	26,760237	-29,537095	-7,865183	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SPD	2	1	12228363	26,38858	11429231	24,637478	6,992001	1,751103	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SPD	2	2	11949756	25,742995	9539381	20,507965	25,267625	5,235029	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	AfD	3	1	4694017	10,129601	5317499	11,462693	-11,725099	-1,333091	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	AfD	3	2	4802097	10,345011	5878115	12,636897	-18,305494	-2,291886	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FDP	4	1	4040783	8,719935	3249238	7,004236	24,360942	1,715699	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FDP	4	2	5316698	11,4536	4999449	10,747922	6,345679	0,705678	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DIE LINKE	5	1	2306755	4,977934	3966637	8,5507	-41,846078	-3,572766	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DIE LINKE	5	2	2269993	4,890177	4297270	9,238363	-47,175928	-4,348186	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	GRÜNE	6	1	6465502	13,952433	3717922	8,014557	73,900959	5,937876	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	GRÜNE	6	2	6848215	14,752901	4158400	8,939817	64,683893	5,813083	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	CSU	7	1	2787904	6,016245	3255487	7,017706	-14,36292	-1,001461	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	CSU	7	2	2402826	5,176335	2869688	6,169317	-16,268737	-0,992982	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FREIE WÄHLER	8	1	1334093	2,878948	589056	1,269801	126,479825	1,609146	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FREIE WÄHLER	8	2	1127171	2,42823	463292	0,995995	143,296021	1,432235	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die PARTEI	9	1	542804	1,171361	245659	0,529556	120,95832	0,641805	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die PARTEI	9	2	461487	0,994167	454349	0,976769	1,571039	0,017398	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Tierschutzpartei	10	1	163047	0,351852	22917	0,049401	611,46747	0,302451	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Tierschutzpartei	10	2	674789	1,453677	374179	0,804418	80,338555	0,649259	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	NPD	11	1	1089	0,00235	45169	0,097369	-97,589054	-0,095019	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	NPD	11	2	64608	0,139183	176020	0,378412	-63,29508	-0,239229	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	PIRATEN	12	1	60843	0,131298	93196	0,200898	-34,715009	-0,0696	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	PIRATEN	12	2	169889	0,365987	173476	0,372942	-2,067721	-0,006956	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	ÖDP	13	1	152886	0,329925	166228	0,35833	-8,026325	-0,028405	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	ÖDP	13	2	112351	0,242034	144809	0,311313	-22,414353	-0,069279	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	V-Partei³	14	1	10679	0,023045	1201	0,002589	789,175687	0,020456	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	V-Partei³	14	2	31966	0,068863	64073	0,137746	-50,110031	-0,068882	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DiB	15	1	2618	0,00565					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DiB	15	2	7291	0,015707	60914	0,130954	-88,030666	-0,115247	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BP	16	1	36798	0,079409	62622	0,134991	-41,237904	-0,055582	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BP	16	2	32901	0,070878	58037	0,124769	-43,310302	-0,053892	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Tierschutzallianz	17	1	7369	0,015902	6114	0,01318	20,52666	0,002722	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Tierschutzallianz	17	2	13686	0,029483	32221	0,069269	-57,524596	-0,039786	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	MLPD	18	1	22745	0,049083	35760	0,077086	-36,395414	-0,028003	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	MLPD	18	2	17994	0,038764	29785	0,064032	-39,58704	-0,025269	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Gesundheitsforschung	19	1	2845	0,006139	1537	0,003313	85,100846	0,002826	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Gesundheitsforschung	19	2	49331	0,106272	23404	0,050314	110,780209	0,055958	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	MENSCHLICHE WELT	20	1	657	0,001418	2205	0,004753	-70,204082	-0,003335	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	MENSCHLICHE WELT	20	2	3794	0,008173	11661	0,025069	-67,464197	-0,016896	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DKP	21	1	5439	0,011737	7517	0,016204	-27,644007	-0,004467	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DKP	21	2	15158	0,032654	11558	0,024848	31,147257	0,007807	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die Grauen	22	1	2354	0,00508	4300	0,009269	-45,255814	-0,004189	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die Grauen	22	2	19382	0,041754	10009	0,021518	93,645719	0,020236	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BüSo	23	1	824	0,001778	15960	0,034404	-94,837093	-0,032626	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BüSo	23	2	737	0,001588	6693	0,014389	-88,988495	-0,012801	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die Humanisten	24	1	12727	0,027465					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die Humanisten	24	2	47838	0,103056	5991	0,01288	698,497747	0,090176	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Gartenpartei	25	1	2095	0,004521	2570	0,00554	-18,48249	-0,001019	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Gartenpartei	25	2	7611	0,016396	5617	0,012076	35,499377	0,004321	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	du.	26	1	1887	0,004072	772	0,001664	144,430052	0,002408	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	du.	26	2	17861	0,038477	3032	0,006518	489,083113	0,031959	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SGP	27	1			903	0,001947		-0,001947	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SGP	27	2	1535	0,003307	1291	0,002775	18,900077	0,000531	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	dieBasis	28	1	734621	1,585298					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	dieBasis	28	2	628432	1,353812					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Bündnis C	29	1	6218	0,013418	1717	0,003701	262,143273	0,009717	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Bündnis C	29	2	40126	0,086442					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BÜRGERBEWEGUNG	30	1	1556	0,003358					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BÜRGERBEWEGUNG	30	2	7485	0,016125					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	III. Weg	31	1	513	0,001107					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	III. Weg	31	2	7830	0,016868					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BÜNDNIS21	32	1	351	0,000757					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BÜNDNIS21	32	2	3537	0,00762					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LIEBE	33	1	874	0,001886					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LIEBE	33	2	12946	0,027889					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LKR	34	1	10826	0,023362					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LKR	34	2	11184	0,024093					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	PdF	35	1							
